Object ID,Storm Identifier,Ocean Basin,Sub - Region,Storm Name,Available Storm Type,Calendar Year,Observation Date,Geograpic Latitude,Geographic Longitude,Maximum Sustained Wind (knots),Minimum Sea Level Pressure (millibars)
500700,1993169N21268,,GM,Arlene,TS,1993,6/20/1993 4:00:00 AM,25.9,-95.9,35,1000
500701,1993169N21268,,GM,Arlene,TS,1993,6/20/1993 4:00:00 AM,26.1,-96.2,35,1000
500702,1993169N21268,,GM,Arlene,TS,1993,6/20/1993 4:00:00 AM,26.0,-96.3,35,1000
500703,1993169N21268,,GM,Arlene,TS,1993,6/20/1993 4:00:00 AM,26.1,-96.5,35,1000
500704,1993169N21268,,GM,Arlene,TS,1993,6/21/1993 4:00:00 AM,26.3,-96.7,35,1000
500705,1993169N21268,,GM,Arlene,TS,1993,6/21/1993 4:00:00 AM,26.7,-97.0,35,1001
500706,1993169N21268,,GM,Arlene,TS,1993,6/21/1993 4:00:00 AM,27.0,-97.2,35,1001
500707,1993169N21268,,GM,Arlene,TS,1993,6/21/1993 4:00:00 AM,27.1,-97.4,35,1001
500708,1993169N21268,,,Arlene,TS,1993,6/21/1993 4:00:00 AM,27.2,-97.8,30,1002
500709,1993169N21268,,,Arlene,TS,1993,6/21/1993 4:00:00 AM,27.2,-97.9,30,1003
500710,1993169N21268,,,Arlene,TS,1993,6/21/1993 4:00:00 AM,27.2,-97.89,30,1003
500711,1993169N21268,,,Arlene,TS,1993,6/21/1993 4:00:00 AM,27.2,-98.0,30,1004
500712,1993169N21268,,,Arlene,TS,1993,6/22/1993 4:00:00 AM,27.1,-98.1,30,1004
500713,1993169N21268,,,Arlene,TS,1993,6/22/1993 4:00:00 AM,27.1,-98.2,28,1005
502949,1993252N11265,EP,MM,Lidia,TS,1993,9/14/1993 4:00:00 AM,25.9,-106.3,45,998
502950,1993252N11265,EP,MM,Lidia,TS,1993,9/14/1993 4:00:00 AM,27.0,-105.4,40,1000
502951,1993252N11265,EP,MM,Lidia,TS,1993,9/14/1993 4:00:00 AM,27.9,-104.2,35,1001
502952,1993252N11265,EP,MM,Lidia,TS,1993,9/14/1993 4:00:00 AM,28.8,-102.6,33,1002
502953,1993252N11265,EP,MM,Lidia,TS,1993,9/15/1993 4:00:00 AM,29.5,-101.0,30,1003
502954,1993252N11265,EP,MM,Lidia,TS,1993,9/15/1993 4:00:00 AM,30.0,-99.7,28,1005
511714,1994282N17247,EP,MM,Rosa,TS,1994,10/15/1994 4:00:00 AM,26.6,-102.7,35,1005
515471,1995210N26273,,GM,Dean,TS,1995,7/31/1995 4:00:00 AM,28.4,-93.5,33,1004
515472,1995210N26273,,GM,Dean,TS,1995,7/31/1995 4:00:00 AM,28.6,-94.0,35,1003
515473,1995210N26273,,GM,Dean,TS,1995,7/31/1995 4:00:00 AM,28.8,-94.5,38,1001
515474,1995210N26273,,GM,Dean,TS,1995,8/1/1995 4:00:00 AM,29.0,-95.0,40,999
515475,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,29.2,-95.3,40,999
515476,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,29.3,-95.4,38,1000
515477,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,29.5,-95.5,30,1002
515478,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,29.7,-95.7,28,1003
515479,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,30.0,-96.0,25,1003
515480,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,30.2,-96.3,23,1003
515481,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,30.5,-96.5,20,1003
515482,1995210N26273,,,Dean,TS,1995,8/1/1995 4:00:00 AM,31.0,-96.7,20,1004
515483,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,31.5,-97.0,20,1004
515484,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,31.7,-97.2,20,1004
515485,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,32.0,-97.5,20,1004
515486,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,32.5,-98.0,20,1004
515487,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,33.0,-98.5,20,1004
515488,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,33.1,-98.6,20,1004
515489,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,33.0,-98.5,20,1004
515490,1995210N26273,,,Dean,TS,1995,8/2/1995 4:00:00 AM,33.0,-98.49,20,1004
515491,1995210N26273,,,Dean,TS,1995,8/3/1995 4:00:00 AM,33.0,-98.5,20,1004
515492,1995210N26273,,,Dean,TS,1995,8/3/1995 4:00:00 AM,33.0,-98.49,20,1004
515493,1995210N26273,,,Dean,TS,1995,8/3/1995 4:00:00 AM,33.0,-98.5,20,1004
515494,1995210N26273,,,Dean,TS,1995,8/3/1995 4:00:00 AM,33.0,-98.49,20,1004
515495,1995210N26273,,,Dean,TS,1995,8/3/1995 4:00:00 AM,33.0,-98.5,20,1004
515496,1995210N26273,,,Dean,TS,1995,8/3/1995 4:00:00 AM,33.0,-98.49,20,1004
540907,1998233N25268,,GM,Charley,TS,1998,8/22/1998 4:00:00 AM,26.0,-94.5,40,1008
540908,1998233N25268,,GM,Charley,TS,1998,8/22/1998 4:00:00 AM,26.4,-94.9,43,1007
540909,1998233N25268,,GM,Charley,TS,1998,8/23/1998 4:00:00 AM,26.8,-95.4,45,1006
540910,1998233N25268,,GM,Charley,TS,1998,8/23/1998 4:00:00 AM,27.2,-96.0,53,1004
540911,1998233N25268,,GM,Charley,TS,1998,8/23/1998 4:00:00 AM,27.5,-96.5,60,1002
540912,1998233N25268,,GM,Charley,TS,1998,8/23/1998 4:00:00 AM,27.7,-97.0,45,1001
540913,1998233N25268,,GM,Charley,TS,1998,8/23/1998 4:00:00 AM,27.8,-97.1,40,1000
540914,1998233N25268,,GM,Charley,TS,1998,8/23/1998 4:00:00 AM,27.9,-97.4,35,1001
